#    ellip     vsigma	err_low	err_high
0.173219535	0.187	0.009	0.009
0.144387625	0.14	0.005	0.005
0.09211271	0.186	0.009	0.008
0.122055111	0.174	0.009	0.009
0.001838719	0.083	0.015	0.012
0.009680939	0.021	0.01	0.005
0.139948657	0.046	0.005	0.006
0.051072272	0.076	0.011	0.011
0.006988556	0.042	0.005	0.004
0.052502975	0.095	0.007	0.006
0.121990455	0.143	0.007	0.007
0.030593507	0.21	0.021	0.026
0.10669539	0.222	0.006	0.006
0.012008554	0.016	0.005	0.005
0.009125977	0.01	0.005	0.005
0.041650138	0.017	0.005	0.005
0.005166098	0.019	0.005	0.005
0.02040477	0.01	0.005	0.005
0.002324567	0.01	0.005	0.005
0.065708848	0.01	0.005	0.005
0.116471958	0.01	0.005	0.005
0.17    0.00     0.34      0.01
0.09    0.00     0.25      0.01
0.05    0.00     0.23      0.01
#last 3 lines from Bianchini+ 2013
