r	m_I	e
0.025	12.35	0.2286	
0.05	12.48	0.234	
0.075	12.65	0.1953	
0.1	12.85	0.0988	
0.125	13.07	0.0082	
0.15	13.24	0.0566	
0.175	13.44	0.0891	
0.2	13.62	0.1132	
0.225	13.76	0.1453	
0.25	13.91	0.1449	
0.275	14.09	0.1177	
0.3	14.31	0.0909	
0.325	14.51	0.0718	
0.35	14.67	0.0234	
0.3855	14.85	0.091	
0.5328	15.5	0.091	
0.7418	16.24	0.091	
1.037	16.82	0.091	
1.454	17.47	0.091	
2.043	17.76	0.091	
2.876	17.99	0.091	
4.051	18.24	0.091	
5.605	18.36	0.091	
7.543	18.43	0.091	
9.157	18.51	0.091	
13.92	18.56	0.3	
17.53	18.62	0.52
22.91	18.7	0.29
24.29	18.8	0.27
27.09	18.82	0.29
30.01	18.86	0.3
33.01	18.94	0.31
37.12	18.99	0.33
41.45	19.06	0.34
44.91	19.11	0.35
50.16	19.17	0.34
55.6	19.25	0.36
61.16	19.34	0.36
68.35	19.42	0.38
76.43	19.52	0.4
85.51	19.62	0.42
95.72	19.72	0.43
106.3	19.81	0.45
118.0	19.9	0.46
129.8	19.99	0.46
144.1	20.1	0.47
158.5	20.21	0.47
179.5	20.33	0.5
197.4	20.46	0.5
217.2	20.61	0.5
238.9	20.78	0.5
262.8	20.95	0.5
