ID      VCC     OTHER   B_T    E(B-V)   mu_g    mu_z  VCC_nuc ACS_nuc   Model    g_AB    z_ab   g-z_int  g-z_ap  r_hg   r_hz   offset 
1	1226	NGC4472	9.31	0.022	16.74	15.12	N	II	cS	0	0	0	0	0	0	0	
2	1316	NGC4486	9.58	0.023	17.58	15.95	N	0	cS	0	0	0	0	0	0	0	
3	1978	NGC4649	9.81	0.026	16.93	15.27	N	II	cS	0	0	0	0	0	0	0	
4	881	NGC4406	10.06	0.029	16.66	15.08	N	II	cS	0	0	0	0	0	0	0	
5	798	NGC4382	10.09	0.030	16.23	14.89	N	II	cS	0	0	0	0	0	0	0	
6	763	NGC4374	10.26	0.041	16.47	14.88	N	0	cS	0	0	0	0	0	0	0	
7	731	NGC4365	10.51	0.021	16.95	15.34	N	Ib	cS	0	0	0	0	0	0	0.014 	
8	1535	NGC4526	10.61	0.022	    0	0	N	0	0	0	0	0	0	0	0	0	
9	1903	NGC4621	10.76	0.032	16.44	14.80	N	Id	S	0	0	0	0	0	0	0	
10	1632	NGC4552	10.78	0.041	16.34	14.68	N	II	cS	0	0	0	0	0	0	0	
11	1231	NGC4473	11.10	0.028	16.45	14.87	N	II	S	0	0	0	0	0	0	0	
12	2095	NGC4762	11.18	0.022	16.76	15.25	N	Ib	S	0	0	0	0	0	0	0.009 
13	1154	NGC4459	11.37	0.045	16.67	15.11	N	Id	S	0	0	0	0	0	0	0	
14	1062	NGC4442	11.40	0.022	16.63	15.02	N	Id	S	0	0	0	0	0	0	0	
15	2092	NGC4754	11.51	0.032	16.77	15.15	N	Ib	S	0	0	0	0	0	0	0.027 	
16	369	NGC4267	11.80	0.047	16.98	15.36	N	Ib	S	0	0	0	0	0	0	0.015 
17	759	NGC4371	11.80	0.036	17.50	15.93	N	II	S	0	0	0	0	0	0	0	
18	1692	NGC4570	11.82	0.022	16.65	15.06	N	Ic	S	0	0	0	0	0	0	0	
19	1030	NGC4435	11.84	0.029	0	0	N	0	0	0	0	0	0	0	0	0	
20	2000	NGC4660	11.94	0.034	16.47	14.89	N	Id	S	0	0	0	0	0	0	0	
21	685	NGC4350	11.99	0.028	16.57	14.98	N	0	S	0	0	0	0	0	0	0	
22	1664	NGC4564	12.02	0.033	16.90	15.27	N	Ic	S	0	0	0	0	0	0	0	
23	654	NGC4340	12.03	0.026	17.45	15.95	N	Ib	S	0	0	0	0	0	0	0.025 	
24	944	NGC4417	12.08	0.025	16.93	15.42	N	Ic	S	0	0	0	0	0	0	0	
25	1938	NGC4638	12.11	0.026	16.97	15.43	N	Ib	S	0	0	0	0	0	0	0.017 	
26	1279	NGC4478	12.15	0.024	17.40	15.90	N	Id	S	0	0	0	0	0	0	0	
27	1720	NGC4578	12.29	0.021	17.66	16.13	N	Ia	S	18.40	16.82	1.57	1.57	0.085	0.085	0.007 	
28	355	NGC4262	12.41	0.036	16.75	15.15	N	Id	S	0	0	0	0	0	0	0	
29	1619	NGC4550	12.50	0.040	17.69	16.25	N	Ia	S	17.13	15.58	1.55	1.58	0.323	0.323	0.058 	
30	1883	NGC4612	12.57	0.025	17.20	15.86	N	Ia	S	18.74	17.60	1.14	1.11	0.024	0.024	0.013 	
31	1242	NGC4474	12.60	0.042	17.59	16.09	N	Ia	S	19.84	18.14	1.70	1.68	0.035	0.035	0.017 	
32	784	NGC4379	12.67	0.024	17.53	16.05	N	Ia	S	18.34	16.68	1.66	1.67	0.161	0.161	0.018 	
33	1537	NGC4528	12.70	0.046	17.30	15.82	N	Id	S	0	0	0	0	0	0	0	
34	778	NGC4377	12.72	0.038	16.94	15.44	N	Id	S	0	0	0	0	0	0	0	
%35	1321	NGC4489	12.84	0.028	17.92	16.52	N	Id	S	0	0	0	0	0	0	0	
36	828	NGC4387	12.84	0.033	18.01	16.50	N	Ia	S	18.53	16.96	1.57	1.59	0.208	0.208	0.011 	
37	1250	NGC4476	12.91	0.028	17.81	16.58	N	Ia	cS	19.73	18.19	1.55	1.52	0.026	0.026	0.083 	
38	1630	NGC4551	12.91	0.039	18.00	16.46	N	Ia	S	17.39	15.72	1.68	1.71	0.501	0.501	0.014 	
39	1146	NGC4458	12.93	0.023	18.03	16.59	N	Ia	S	15.37	13.95	1.42	1.47	0.780	0.780	0.006 	
40	1025	NGC4434	13.06	0.022	17.48	16.00	N	Ic	S	0	0	0	0	0	0	0	
41	1303	NGC4483	13.10	0.020	18.00	16.50	N	Ib	S	0	0	0	0	0	0	0.016 	
42	1913	NGC4623	13.22	0.022	18.51	17.02	N	Ia	S	17.55	15.95	1.60	1.64	0.597	0.597	0.011 	
43	1327	NGC4486	13.26	0.023	17.49	15.90	N	II	S	0	0	0	0	0	0	0
44	1125	NGC4452	13.30	0.030	18.57	17.15	N	Ia	S	20.48	19.51	0.97	0.950	0.060	0.060	0.021 	
45	1475	NGC4515	13.36	0.031	17.85	16.46	N	Ib	S	0	0	0	0	0	0	0.017 	
46	1178	NGC4464	13.37	0.022	17.47	15.99	N	Ib	S	0	0	0	0	0	0	0.014 	
47	1283	NGC4479	13.45	0.029	19.11	17.62	N	Ia	S	20.65	19.07	1.58	1.55	0.053	0.053	0.034 	
48	1261	NGC4482	13.56	0.029	19.71	18.49	Y	Ia	S	19.50	18.28	1.22	1.25	0.041	0.036	0.028 	
49	698	NGC4352	13.60	0.026	18.43	17.03	N	Ia	S	19.93	18.61	1.32	1.29	0.041	0.041	0.041 	
50	1422	IC3468	13.64	0.031	20.04	18.76	Y	Ia	S	20.22	19.00	1.22	1.26	0.038	0.035	0.038 	
51	2048	IC3773	13.81	0.032	19.39	18.17	N	Ia	S	21.45	20.30	1.15	1.14	0.037	0.031	0.076 	
52	1871	IC3653	13.86	0.030	18.89	17.42	N	Ia	S	18.73	17.48	1.25	1.35	0.125	0.108	0.030 	
53	9	IC3019	13.93	0.039	22.11	20.95	Y	Ie	S	22.01	21.22	0.79	0.88	0.040	0.034	1.907 	
54	575	NGC4318	14.14	0.025	18.38	16.96	N	Id	S	0	0	0	0	0	0	0	
55	1910	I809	14.17	0.031	20.05	18.64	Y	Ia	S	19.82	18.63	1.19	1.19	0.038	0.038	0.005 	
56	1049	UGC7580	14.20	0.022	19.74	18.73	N	II	S	0	0	0	0	0	0	0	
57	856	IC3328	14.25	0.024	20.67	19.46	Y	Ia	S	18.97	17.85	1.12	1.17	0.163	0.153	0.073 
58	140	IC3065	14.30	0.037	19.60	18.37	N	Ia	S	22.09	21.19	0.91	0.93	0.030	0.022	0.045 
59	1355	IC3442	14.31	0.034	21.84	20.59	Y	Ia	S	21.10	20.07	1.03	1.03	0.043	0.038	0.030 
60	1087	IC3381	14.31	0.027	20.60	19.27	Y	Ia	S	20.22	18.89	1.33	1.33	0.027	0.027	0.012 
61	1297	NGC4486	14.33	0.021	17.49	15.93	N	Id	S	0	0	0	0	0	0	0
62	1861	IC3652	14.37	0.029	20.76	19.43	Y	Ia	S	20.11	19.06	1.04	1.19	0.137	0.119	0.061 	
63	543	UGC7436	14.39	0.031	20.56	19.29	N	Ia	cS	22.56	21.20	1.36	1.19	0.157	0.196	0.056 	
64	1431	IC3470	14.51	0.051	19.82	18.40	Y	Ia	S	19.66	18.54	1.13	1.17	0.238	0.233	0.073 	
65	1528	IC3501	14.51	0.028	19.51	18.18	N	Ia	cS	22.27	21.31	0.96	0.89	0.015	0.018	0.016 	
66	1695	IC3586	14.53	0.045	20.34	19.22	N	Ia	cS	22.61	21.23	1.38	1.35	0.022	0.024	0.433 	
67	1833	XX	14.54	0.036	19.28	18.09	N	II	S	0	0	0	0	0	0	0     
68	437	UGC7399	14.54	0.029	20.75	19.45	Y	Ia	S	20.00	19.01	1.00	1.03	0.089	0.083	0
69	2019	IC3735	14.55	0.022	20.83	19.63	Y	Ia	S	20.31	19.20	1.12	1.18	0.037	0.029	0.183 	
70	33	IC3032	14.67	0.037	20.79	19.75	Y	Ia	S	22.18	21.27	0.91	0.91	0.033	0.032	0.046 	
71	200	XX	14.69	0.030	20.56	19.31	Y	Ia	S	22.86	21.94	0.92	1.06	0.053	0.038	0.068 	
72	571	XX	14.74	0.022	20.12	19.11	N	0	S	0	0	0	0	0	0	0	
73	21	IC3025	14.75	0.021	20.42	18.79	N	Ie	S	20.64	20.36	0.28	0.32	0.033	0.029	0.759 	
74	1488	IC3487	14.76	0.021	20.24	19.51	N	Ia	S	23.71	22.99	0.72	0.69	0.025	0.025	0.038 	
75	1779	IC3612	14.83	0.028	20.45	19.62	N	Ie	S	22.41	21.58	0.83	0.85	0.021	0.024	0.542 	
76	1895	UGC7854	14.91	0.017	20.54	19.42	N	Ia	S	23.48	22.61	0.88	0.89	0.023	0.021	0.198 	
77	1499	IC3492	14.94	0.030	19.55	19.12	N	II	S	0	0	0	0	0	0	0	
78	1545	IC3509	14.96	0.042	19.98	18.53	N	Ia	S	21.93	20.88	1.05	1.16	0.050	0.037	0.027 	
79	1192	NGC4467	15.04	0.023	19.05	17.53	N	Ia	S	19.09	17.90	1.19	1.22	0.120	0.121	0.007 	
80	1857	IC3647	15.07	0.025	22.72	21.72	Y	Ie	S	21.11	20.27	0.84	0.86	0.041	0.041	6.986 	
81	1075	IC3383	15.08	0.027	21.43	21.40	Y	Ia	S	21.07	20.11	0.96	0.97	0.040	0.039	0.012 	
82	1948	XX	15.10	0.025	21.59	20.57	N	Ie	S	24.30	23.21	1.09	1.04	0.041	0.054	1.426 	
83	1627	XX	15.16	0.039	19.04	17.59	N	Ia	S	18.83	17.39	1.44	1.46	0.197	0.197	0.024 	
84	1440	I798	15.20	0.028	19.25	17.96	N	Ia	S	19.70	18.38	1.32	1.33	0.063	0.056	0.015 	
85	230	IC3101	15.20	0.028	21.14	19.91	Y	Ia	S	20.31	19.22	1.09	1.08	0.038	0.033	0.058 	
86	2050	IC3779	15.20	0.023	21.02	19.82	Y	Ia	S	22.38	21.41	0.97	1.08	0.073	0.066	0.037 	
87	1993	XX	15.30	0.025	20.61	19.34	N	Ib	S	0	0	0	0	0	0	0.043 	
88	751	IC3292	15.30	0.032	19.92	18.58	N	Ia	S	21.22	20.17	1.05	1.22	0.046	0.035	0.030 	
89	1828	IC3635	15.33	0.037	21.40	20.12	Y	Ia	S	21.50	20.50	1.00	1.04	0.060	0.057	0.018 	
90	538	NGC4309	15.40	0.020	20.14	18.98	N	Ia	S	21.27	20.15	1.13	1.13	0.033	0.030	0
91	1407	IC3461	15.49	0.032	20.75	19.50	Y	Ia	S	20.39	19.40	0.98	1.08	0.145	0.127	0.060 	
92	1886	XX	15.49	0.033	22.08	21.12	Y	Ia	S	22.05	21.04	1.01	0.97	0.036	0.041	0.022 	
93	1199	XX	15.50	0.022	19.56	17.97	N	Ia	S	19.75	18.39	1.36	1.45	0.075	0.063	0.040 	
94	1743	IC3602	15.50	0.019	21.45	20.31	N	Ib	S	0	0	0	0	0	0	0.015 	
95	1539	XX	15.68	0.032	22.01	20.86	Y	Ia	S	20.93	19.81	1.11	1.02	0.231	0.265	0.143 	
96	1185	XX	15.68	0.023	21.89	20.62	Y	Ia	S	20.86	19.91	0.95	1.00	0.057	0.050	0.004 	
97	1826	IC3633	15.70	0.017	20.52	19.34	Y	Ia	S	20.10	18.91	1.19	1.17	0.024	0.025	0.043 	
98	1512	XX	15.73	0.050	20.27	19.42	N	II	cS	0	0	0	0	0	0	0	
