galaxy	  	t	hubble  dm	mv	vi0	nucflag
CenN 		-5 	dSph 	27.88 	-11.15 	1.24	1
ESO059-01 	10 	IB 	28.30 	-14.60 	0.78 	0
ESO137-18 	5.0 	SAsc 	29.03 	-17.21 	0.79 	0
ESO215-09 	10 	I 	28.60 	-14.08 	0.80	1
ESO223-09 	9.7 	IAB 	29.06 	-16.47 	0.88 	0
ESO269-58 	9.4 	I 	27.90 	-15.78 	0.98 	0
ESO269-66 	-5 	dE,N 	27.91 	-13.89 	1.00	1
ESO274-01 	6.6 	Scd 	27.45 	-17.47 	1.03 	0
ESO320-14 	10 	I 	28.92 	-13.67 	0.80 	0
ESO381-18 	9 	I 	28.63 	-13.39 	0.72 	0
ESO381-20 	9.8 	IBm 	28.68 	-14.80 	0.63 	0
ESO384-16 	-5 	dSph 	28.28 	-13.72 	0.87 	0
ESO443-09 	10 	Im 	28.88 	-12.19 	0.74 	0
ESO444-78 	9.9 	Im 	28.60 	-13.48 	0.86 	0
HIPASSJ1348-37 	10 	I 	28.78 	-10.80 	0.79 	0
HIPASSJ1351-47 	10 	I 	28.79 	-11.55 	0.68	0 
IC4247 		1.6 	Sab 	28.48 	-14.69 	0.66 	0
IKN 		-3 	dSph 	27.87 	-11.51 	0.7  	0
KK189 		-5 	dE 	28.23 	-11.99 	0.92 	0
KK196 		9.8 	IBm 	28.00 	-10.72 	0.71 	0
KK197 		10 	Im 	27.94 	-13.04 	1.16	1
KKS55 		-3 	dSph 	27.98 	-11.17 	1.22 	0
KKS57 		-3 	I 	27.97 	-10.73 	1.08 	0
NGC5237 	1.4 	dSph/I 	27.66 	-15.45 	0.91 	0
ESO349-31 	10 	IB 	27.53 	-11.87 	0.66 	0
NGC247 		6.7 	SABd 	27.81 	-18.76 	0.85 	0
KKH6 		10 	I 	27.86 	-12.66 	0.80 	0
KKH37 		10 	I 	27.65 	-12.07 	0.80 	0
UGCA86 		9.9 	Im 	27.36 	-16.13 	0.80	1 
UGCA92 		10 	Im 	27.39 	-14.71 	0.51 	0
D564-08 	10 	I 	29.69 	-12.76 	1.00 	0
D565-06 	10 	I 	29.79 	-12.88 	0.95 	0
NGC4068 	9.9 	Im 	28.17 	-15.25 	0.63 	0
NGC4163 	9.9 	Im 	27.36 	-14.21 	0.80	1
UGC8215 	9.9 	Im 	28.29 	-12.51 	0.82 	0
UGC8638 	9.9 	Im 	28.15 	-13.69 	0.74	1
D634-03 	10 	I 	29.90 	-11.94 	0.92 	0
DDO52 		10 	I 	30.06 	-14.98 	0.80 	0
ESO121-20 	10 	I 	28.91 	-13.64 	0.68 	0
HIPASSJ1247-77 	10 	Im 	27.50 	-12.86 	0.20 	0
HS117 		10 	I 	27.99 	-11.31 	0.91 	0
IC4662 		9.7 	IBm 	26.94 	-15.58 	0.66 	0
KK182 		10 	I 	28.81 	-13.10 	0.63 	0
KK230 		10 	I 	26.42 	-9.06 	0.74 	0
KK246 		10 	I 	29.47 	-13.77 	0.83 	0
KKH77 		10 	I 	28.67 	-14.58 	0.7  	0
NGC4605 	4.9 	SBc 	28.69 	-18.41 	0.7  	0
UGC7369 	7.6 	dE 	30.32 	-16.17 	1.03	1
VKN 		-3 	dSph 	27.66	-10.52 	0.7  	0
ANTLIA          10. 	IAB     25.49    -7.1     0.8	0
E115-021        7.6 	SBd     28.49  -15.33    0.72	0
E154-023        8.8 	SBm      28.8  -16.38    0.68	0
IC1959          8.6 	SBm     28.91  -15.99    0.74	1
KK16            10. 	I       28.69  -12.38    0.88	0
KK17            10. 	I       28.45  -10.57    0.96	0
KK27            10. 	I       28.09  -10.14    0.78	0
KK65            10. 	I       29.52  -14.52    0.76	0
N1311           8.8	SBm     28.68  -15.76    0.78	0
N784            7.7 	SBdm    28.58  -16.87     0.7	0
U1281           7.5 	Sdm     28.55   -15.3    0.83	0
U3755           9.9 	IAB     29.35   -15.5    0.88	0
U3974           9.8 	IBm     29.53  -15.33    0.98	0
U4115           9.9 	I       29.44  -15.12    0.74	0
U685            9.1 	Sm      28.36  -14.35    0.82	0
U8651           9.9 	I        27.4  -11.98    0.66	0
U8760           9.8 	IB      27.55  -13.16    0.68	0
U8833           9.9 	IAB     27.53  -11.58    0.58	0
U9128           9.9 	IAB     26.75  -12.06     0.6	0
