r	        sb
0.5		16.021
0.5		17.963
0.5		17.454
0.5		17.019
0.5		16.696
0.5		16.362
0.651		15.093
1.639		14.815
3.008		15.586
4.759		20.241
4.759		19.833
4.759		19.337
4.882		18.901
4.882		18.460
10.752		20.506
35.734		20.667
54.218		20.829
81.434		21.039
100.670		21.215
127.896		21.419
156.481		21.579
181.834		21.802
209.678		22.012
249.396		22.439
280.977		22.734
332.434		22.645
369.515		23.016
411.713		23.354
440.814		23.545
466.032		23.753
490.509		24.091
549.800		24.360
598.990		24.855
642.064		25.242
697.875		25.805
756.537		26.331
776.133		26.761
821.058		26.941
864.255		27.287
907.340		27.615
949.897		27.795
993.947		28.024
1036.134	28.339
1080.689	28.787
1123.740	29.269
1164.311	29.599
1207.508	29.839
1252.557	29.902
1338.929	30.217
1382.743	30.501
