  r       sb
  0.0010  13.651
  0.0243  13.706
  0.0280  13.714
  0.0322  13.725
  0.0370  13.749
  0.0426  13.773
  0.0490  13.803
  0.0563  13.836
  0.0647  13.884
  0.0745  13.947
  0.0856  14.023
  0.0985  14.134
  0.1132  14.248
  0.1302  14.382
  0.1497  14.544
  0.1722  14.721
  0.1980  14.930
  0.2278  15.167
  0.2619  15.466
  0.3012  15.719
  0.3464  15.957
  0.3983  16.213
  0.4581  16.496
  0.5268  16.834
  0.6058  17.163
  0.6967  17.442
  0.8012  17.646
  0.9214  18.061
  1.0596  18.335
  1.2185  18.595
  1.4013  18.608
  1.6115  18.844
  1.8532  18.976
  2.1312  19.096
  2.4509  19.137
  2.8185  19.179
  3.2413  19.280
  3.7275  19.270
  4.2866  19.274
  4.9296  19.356
  5.6690  19.346
  6.5194  19.349
  7.4973  19.384
  8.6219  19.288
  9.9152  19.407
 11.4024  19.404
 13.1128  19.469
 15.0797  19.483
