r	sb
1.121	18.259
2.228	19.503
4.402	19.781
5.507	19.857
6.597	19.874
7.611	19.901
8.720	19.950
9.686	19.981
10.770	19.968
11.841	19.978
12.984	20.012
14.091	20.001
15.304	20.034
16.253	20.034
17.238	20.077
18.193	20.096
19.378	20.100
20.362	20.099
21.434	20.104
22.553	20.122
23.698	20.108
24.414	20.117
25.698	20.136
26.502	20.117
27.513	20.090
28.588	20.104
29.614	20.107
30.875	20.133
31.870	20.153
32.831	20.171
34.018	20.192
35.073	20.235
38.315	20.248
42.216	20.308
44.834	20.303
48.506	20.348
52.996	20.378
55.525	20.404
60.059	20.455
64.080	20.435
67.181	20.488
71.358	20.545
77.201	20.611
81.880	20.684
87.031	20.688
92.591	20.765
97.844	20.812
104.659	20.879
111.025	20.931
116.897	20.985
123.894	21.028
132.812	21.043
138.371	21.095
142.143	21.161
152.953	21.230
160.963	21.322
168.562	21.452
177.926	21.548
186.234	21.618
193.268	21.669
197.993	21.758
204.018	21.812
208.537	21.878
214.146	21.955
217.296	22.026
221.563	22.095
226.614	22.138
236.779	22.204
251.782	22.289
265.974	22.196
279.707	22.171
288.563	22.247
294.003	22.283
296.908	22.365
303.953	22.434
308.056	22.490
321.491	22.557
329.675	22.654
336.362	22.766
357.573	23.051
374.244	23.091
398.488	23.188
