r	m_I
0.760	16.265
0.846	16.442
0.941	16.651
1.027	16.833
1.233	17.191
1.327	17.337
1.420	17.411
1.543	17.483
1.597	17.554
1.690	17.651
1.812	17.749
1.971	17.828
2.330	17.950
2.938	18.107
3.690	18.294
4.614	18.368
5.819	18.386
7.384	18.454
9.363	18.501
11.522	18.560
14.865	18.614
1.129	17.026
0.683	16.105
0.642	15.974
0.621	15.880
0.593	15.759
0.572	15.658
0.556	15.578
0.533	15.437
0.510	15.306
1.271	17.259
1.172	17.096
0.807	16.345
0.474	15.223
0.448	15.057
0.426	14.940
0.410	14.873
0.390	14.802
0.369	14.670
0.342	14.569
