vcc	f475w	err	re	reerr	ba	baerr	n	nerr	deltaPA	paerr	galmass	llgm	ulgm	nscmass	llnm	ulnm
33	22.19	0.37	4.1610	0.0034	0.998	0.071	1.027	0.034	46.374	3.083	8.436	8.228	8.630	5.761	5.529	5.936
140	22.20	0.37	3.5170	0.0018	0.832	0.037	1.374	0.026	28.855	2.511	9.103	8.889	9.219	5.561	5.319	5.807
200	22.97	0.35	4.9050	0.0024	0.823	0.054	1.824	0.036	65.942	15.075	8.851	8.615	8.951	5.616	5.341	5.837
230	20.15	0.30	3.4720	0.0024	0.883	0.024	1.256	0.030	66.641	34.041	8.509	8.271	8.650	6.424	6.177	6.675
538	20.84	0.27	5.6250	0.0027	0.883	0.026	1.958	0.034	25.420	52.607	8.383	7.924	8.509	6.360	6.150	6.543
698	20.04	0.29	4.1790	0.0008	0.953	0.010	1.398	0.011	62.176	32.273	9.399	9.344	9.463	6.669	6.446	6.870
784	18.75	0.21	6.6830	0.0016	0.822	0.012	2.551	0.006	32.977	2.032	9.911	9.822	10.105	7.680	7.551	7.763
828	18.54	0.20	28.7120	0.0044	0.651	0.011	2.101	0.024	33.321	2.517	9.819	9.738	9.958	7.537	7.363	7.682
856	19.56	0.32	7.1910	0.0013	0.789	0.011	1.208	0.025	17.519	2.140	8.969	8.750	9.091	6.774	6.544	6.995
1075	21.08	0.27	3.9850	0.0024	0.932	0.024	1.351	0.019	9.962	7.216	8.765	8.524	8.867	5.988	5.772	6.250
1087	20.16	0.30	4.0030	0.0023	0.840	0.019	2.148	0.027	38.817	21.921	9.077	8.871	9.209	6.830	6.624	6.982
1146	16.60	0.12	44.1600	0.0057	0.501	0.003	2.798	0.017	15.775	1.933	9.735	9.621	9.910	8.018	7.925	8.160
1185	20.75	0.28	5.6980	0.0021	0.873	0.025	1.588	0.028	51.183	32.443	8.734	8.604	8.801	6.187	5.966	6.440
1192	18.47	0.20	18.0010	0.0028	0.674	0.004	2.365	0.022	38.473	1.863	8.862	8.810	8.966	7.313	7.154	7.493
1199	19.43	0.32	8.6170	0.0036	0.686	0.007	1.485	0.028	18.550	1.968	8.497	8.364	8.602	7.213	7.024	7.355
1242	17.62	0.11	29.4540	0.0035	0.605	0.004	2.188	0.015	87.939	2.388	10.004	9.866	10.171	8.002	7.855	8.098
1261	19.87	0.29	2.9990	0.0022	0.803	0.019	2.030	0.026	75.573	3.450	9.146	9.034	9.234	6.665	6.428	6.842
1283	19.94	0.29	10.3710	0.0015	0.887	0.028	2.220	0.023	33.321	5.714	9.455	9.383	9.512	6.999	6.814	7.149
1355	21.10	0.26	3.9290	0.0028	0.897	0.018	1.596	0.021	35.038	8.515	8.948	8.759	9.103	6.076	5.866	6.303
1407	20.76	0.29	8.6190	0.0016	0.908	0.032	1.532	0.025	18.206	6.510	8.618	8.508	8.791	6.294	6.083	6.530
1422	20.09	0.29	4.9650	0.0010	0.865	0.024	2.133	0.019	24.046	2.998	9.153	9.080	9.223	6.737	6.531	6.909
1431	19.89	0.30	15.3490	0.0026	0.951	0.005	1.477	0.004	80.725	10.741	9.098	8.922	9.221	6.626	6.401	6.860
1440	20.24	0.31	5.6250	0.0020	0.811	0.019	3.087	0.017	33.321	6.919	8.631	8.567	8.703	6.477	6.231	6.709
1489	22.41	0.38	4.6740	0.0020	0.943	0.026	1.051	0.017	33.664	8.683	8.377	7.783	8.493	5.409	5.137	5.691
1539	21.20	0.27	14.8890	0.0024	0.778	0.031	1.351	0.008	66.641	5.701	8.504	8.258	8.598	6.047	5.810	6.294
1545	21.81	0.28	5.4110	0.0030	0.909	0.042	2.668	0.014	11.171	5.753	8.999	8.908	9.053	5.979	5.773	6.195
1619	18.99	0.19	6.4850	0.0023	0.733	0.009	1.501	0.012	37.786	2.522	10.044	9.927	10.127	7.596	7.531	7.645
1627	20.20	0.30	6.1580	0.0029	0.803	0.022	1.856	0.006	22.672	3.937	8.828	8.666	8.935	6.583	6.217	6.854
1630	18.67	0.20	14.8930	0.0032	0.559	0.013	2.062	0.025	10.045	1.750	9.886	9.760	10.046	7.654	7.498	7.775
1661	20.87	0.27	5.8480	0.0009	0.801	0.008	1.209	0.013	11.679	25.610	8.213	7.985	8.335	6.474	6.268	6.619
1826	20.05	0.29	2.9610	0.0015	0.776	0.004	2.070	0.033	59.771	42.308	8.513	8.272	8.620	6.595	6.359	6.800
1828	21.49	0.25	5.6740	0.0028	0.850	0.016	1.524	0.034	23.247	4.267	8.509	8.430	8.582	5.921	5.706	6.154
1861	20.01	0.29	12.3210	0.0037	0.824	0.030	1.556	0.008	79.008	2.573	9.096	8.891	9.218	6.509	6.285	6.758
1871	19.04	0.19	7.3790	0.0024	0.875	0.003	1.730	0.009	17.519	2.400	9.167	9.033	9.313	7.018	6.865	7.206
1883	17.61	0.13	7.3410	0.0012	0.933	0.005	2.172	0.021	85.534	20.023	9.896	9.776	10.082	6.953	6.901	7.006
1886	22.11	0.37	3.9170	0.0012	0.737	0.026	0.845	0.003	41.221	8.934	8.207	8.130	8.324	5.580	5.285	5.848
1910	19.74	0.31	4.9650	0.0029	0.881	0.007	1.556	0.017	56.679	32.329	9.034	8.954	9.136	6.748	6.515	6.947
2019	20.27	0.32	4.2330	0.0034	0.785	0.022	1.477	0.023	71.107	16.213	8.771	8.623	8.944	6.573	6.352	6.761
2050	22.47	0.37	5.5290	0.0013	0.998	0.028	1.327	0.019	29.885	22.239	8.823	8.688	8.883	5.477	5.156	5.722
