VCC   logmstargal   llogmstargal  ulogmstargal   logmstarnuc   llogmstarnuc   ulogmstarnuc   agegal   lagegal   uagegal   agenuc   lagenuc   uagenuc    fehgal   lfehgal   ufehgal   fehnuc   lfehnuc   ufehnuc 
33	8.44  -0.21  0.19	5.56  -0.24  0.20	1.82  -0.56  2.12	4.06  -2.11  4.52	-0.25  -0.32  0.33	-0.12  -0.35  0.35	
140	9.10  -0.21  0.12	5.56  -0.24  0.24	4.38  -2.23  3.86	2.80  -1.44  4.24	-0.40  -0.23  0.22	-0.40  -0.39  0.48	
200	8.85  -0.24  0.10	5.45  -1.48  0.28	5.19  -3.03  3.27	3.49  -3.47  4.88	-0.50  -0.19  0.19	-0.22  -1.00  0.48	
230	8.51  -0.24  0.14	6.42  -0.24  0.25	5.24  -3.06  4.32	3.17  -1.79  5.17	-0.61  -0.16  0.22	-0.53  -0.33  0.48	
538	8.38  -0.46  0.13	6.35  -0.21  0.19	7.15  -5.84  3.73	3.98  -1.94  4.32	-0.71  -0.06  0.35	-0.16  -0.34  0.35	
698	9.40  -0.05  0.06	6.68  -0.22  0.20	1.86  -0.21  0.47	3.73  -1.94  4.38	+0.34  -0.11  0.04	-0.28  -0.32  0.40	
784	9.91  -0.09  0.19	7.68  -0.13  0.08	3.78  -1.06  3.78	9.25  -3.12  2.23	+0.23  -0.22  0.13	+0.27  -0.15  0.09	
828	9.82  -0.08  0.14	7.54  -0.17  0.14	3.10  -0.83  1.57	5.50  -2.26  4.05	+0.24  -0.17  0.11	+0.18  -0.22  0.15	
856	8.97  -0.22  0.12	6.77  -0.23  0.22	4.41  -2.39  3.86	3.18  -1.67  4.33	-0.52  -0.21  0.30	-0.29  -0.36  0.42	
1075	8.76  -0.24  0.10	5.99  -0.22  0.26	5.18  -3.11  3.37	2.54  -1.26  4.74	-0.51  -0.19  0.18	-0.46  -0.38  0.51	
1087	9.08  -0.21  0.13	6.83  -0.21  0.15	6.39  -3.38  3.85	6.23  -2.93  3.92	-0.35  -0.14  0.19	+0.12  -0.24  0.18	
1146	9.74  -0.11  0.17	8.02  -0.09  0.14	3.57  -1.25  3.42	2.65  -0.67  1.58	-0.08  -0.24  0.23	+0.11  -0.24  0.15	
1185	8.73  -0.13  0.07	6.19  -0.22  0.25	9.62  -3.53  2.16	2.76  -1.42  4.26	-0.81  -0.06  0.08	-0.39  -0.33  0.43	
1192	8.86  -0.05  0.10	7.31  -0.16  0.18	3.11  -0.62  1.22	3.60  -1.52  3.92	+0.30  -0.12  0.08	-0.06  -0.32  0.32	
1199	8.50  -0.13  0.10	7.21  -0.19  0.14	5.06  -1.70  2.60	6.38  -2.94  3.81	+0.25  -0.14  0.10	+0.12  -0.24  0.18	
1242	10.00  -0.14  0.17	8.00  -0.15  0.10	4.35  -1.60  4.81	6.63  -2.66  3.22	+0.08  -0.26  0.21	+0.11  -0.17  0.16	
1261	9.15  -0.11  0.09	6.66  -0.24  0.18	2.05  -0.69  1.23	4.60  -2.49  4.39	-0.05  -0.30  0.27	-0.33  -0.29  0.36	
1283	9.45  -0.07  0.06	7.00  -0.18  0.15	2.25  -0.45  0.54	5.56  -2.48  4.06	+0.33  -0.12  0.05	+0.09  -0.27  0.20	
1355	8.95  -0.19  0.16	6.08  -0.21  0.23	3.71  -1.99  3.50	3.07  -1.59  4.27	-0.45  -0.24  0.39	-0.36  -0.33  0.43	
1407	8.62  -0.11  0.17	6.29  -0.21  0.24	3.25  -1.36  2.63	2.86  -1.50  4.19	-0.39  -0.16  0.20	-0.18  -0.36  0.41	
1422	9.15  -0.07  0.07	6.74  -0.21  0.17	2.05  -0.52  0.78	4.69  -2.31  4.33	+0.01  -0.28  0.19	-0.12  -0.31  0.32	
1431	9.10  -0.18  0.12	6.63  -0.23  0.23	4.73  -2.27  3.57	2.99  -1.57  4.36	-0.25  -0.22  0.28	-0.40  -0.34  0.44	
1440	8.63  -0.06  0.07	6.48  -0.25  0.23	1.89  -0.37  0.54	3.03  -1.61  4.41	+0.23  -0.18  0.10	-0.28  -0.38  0.42	
1489	8.38  -0.59  0.12	5.41  -0.27  0.28	7.24  -5.90  3.33	3.10  -1.97  4.92	-0.86  -0.10  0.20	-1.00  -0.71  0.73	
1539	8.50  -0.25  0.09	6.05  -0.24  0.25	8.06  -4.80  2.66	3.31  -1.84  5.11	-0.74  -0.05  0.18	-0.58  -0.28  0.42	
1545	9.00  -0.09  0.05	5.98  -0.21  0.22	10.24  -2.61  1.68	2.77  -1.26  3.84	-0.63  -0.06  0.10	-0.04  -0.42  0.32	
1619	10.04  -0.12  0.08	7.60  -0.06  0.05	7.94  -3.31  3.01	11.43  -1.53  0.83	-0.42  -0.14  0.21	+0.38  -0.04  0.01	
1627	8.83  -0.16  0.11	6.58  -0.37  0.27	5.58  -2.97  2.91	3.93  -2.29  4.68	-0.19  -0.22  0.38	-0.31  -0.59  0.46	
1630	9.89  -0.13  0.16	7.65  -0.16  0.12	4.19  -1.40  4.20	7.18  -2.98  3.38	+0.08  -0.25  0.20	+0.24  -0.18  0.11	
1661	8.21  -0.23  0.12	6.47  -0.21  0.15	6.58  -4.11  3.66	6.06  -3.05  4.20	-0.62  -0.26  0.42	-0.06  -0.27  0.26	
1826	8.51  -0.24  0.11	6.59  -0.24  0.21	6.57  -4.00  2.94	3.75  -2.05  4.56	-0.58  -0.12  0.23	-0.32  -0.31  0.41	
1828	8.51  -0.08  0.07	5.92  -0.21  0.23	1.94  -0.49  0.63	3.11  -1.64  4.39	+0.12  -0.32  0.16	-0.47  -0.29  0.43	
1861	9.10  -0.21  0.12	6.51  -0.22  0.25	6.34  -3.33  3.61	2.79  -1.44  4.58	-0.60  -0.14  0.22	-0.49  -0.39  0.49	
1871	9.17  -0.13  0.15	7.02  -0.15  0.19	4.23  -1.51  3.95	3.41  -1.38  3.89	-0.03  -0.25  0.24	-0.03  -0.34  0.30	
1883	9.90  -0.12  0.19	6.95  -0.05  0.05	3.40  -1.34  3.71	0.61  -0.09  0.13	-0.20  -0.27  0.32	+0.32  -0.22  0.06	
1886	8.21  -0.08  0.12	5.58  -0.30  0.27	1.27  -0.30  0.49	3.65  -2.48  5.22	+0.14  -0.39  0.23	-0.94  -0.67  0.71	
1910	9.03  -0.08  0.10	6.75  -0.23  0.20	2.56  -0.63  1.21	3.82  -2.07  4.51	+0.24  -0.25  0.11	-0.31  -0.32  0.41	
2019	8.77  -0.15  0.17	6.57  -0.22  0.19	2.88  -1.43  2.06	4.14  -2.10  4.39	-0.28  -0.16  0.31	-0.17  -0.33  0.36	
2050	8.82  -0.13  0.06	5.48  -0.32  0.24	9.57  -3.40  2.11	4.18  -2.55  4.79	-1.18  -0.21  0.18	-0.26  -0.84  0.48	
